название,пол,бренд,страна,сегмент,концентрация,верхние ноты,ноты сердца,базовые ноты,запахи,семейства,стойкость минимум (ч),стойкость максимум (ч),шлейф,время года,возраст (до 18),возраст (до 26),возраст (до 35),возраст (до 45),возраст (после 45),мл,цена,характеристики аромата
Shalimar,ж,Guerlain,Франция,люкс,духи,Бергамот;Цитрусы;Лимон;Мандарин,Ирис;Пачули;Роза;Ветивер;Жасмин,Бобы;Кожаный аккорд;Ладан;Мускус;Опопанакс;Сандал;Ваниль;Цибетин,,Восточные;Пряные,2,5,средний,зима;осень,+,+,+,+,+,30,8183,
3 L'Imperatrice,ж,Dolce&Gabbana,Италия,люкс,туалетная вода,Киви;Ревень;Розовый перец,Арбуз;Цикламен;Жасмин,Мускус;Сандал,,Цветочные;Водные,12,1000,очень заметный,весна;лето,+,+,+,+,+,50,7949,Арбуз;Тропические фрукты;Повседневный;Свежий
1001 Nights,ж,Ajmal,ОАЭ,люкс,масляные духи,,,,Древесный аккорд;Мускус;Специи,Цветочные;Древесные;Мускусные,5,12,средний,,+,+,+,+,+,60,2000,
Sabina,ж,Arabesque Perfumes,ОАЭ,нишевая парфюмерия,духи,,,,Ананас;Апельсин;Мускус;Киви;Сахар;Тиаре;Ваниль;Зеленое яблоко,Цветочные;Фруктовые;Сладкие,5,12,средний,зима;весна;лето;осень,,,+,+,+,6,3600,
Resolute Gold,м,Khalis,ОАЭ,масс-маркет,парфюмерная вода,Белые цветы;Клубника,Мускатный орех;Жасмин,Амбра;Древесный аккорд;Мускус;Сандал,,Цветочные;Сладкие,,,средний,,,,,+,+,100,1802,
Oath for Him,м,Ajmal,ОАЭ,люкс,парфюмерная вода,Апельсин;Бергамот;Черная смородина;Дыня;Яблоко;Лимон;Слива,Герань;Ирис;Лаванда;Роза;Жасмин,Амбра;Кедр;Мох;Мускус;Пачули;Ветивер,,Цветочные;Древесные;Шипровые,,,средний,,,,,,,50,9699,
Twist,ж,Emper,ОАЭ,масс-маркет,парфюмерная вода,Бергамот;Черная смородина,Фиалка;Роза;Жасмин,Мускус;Ваниль,,Цветочные;Цветочные,5,12,заметный,зима;весна,+,+,+,,,100,1872,
CK Everyone,у,Calvin Klein,США,люкс,туалетная вода,Апельсин,Чай,Кедр;Мускус,,Цитрусовые;Ароматические,2,5,средний,весна;лето,,+,+,,,50,4749,
Bad Boy,м,Carolina Herrera,США,люкс,туалетная вода,Белый перец;Бергамот;Черный перец,Кедр;Шалфей,Бобы;Янтарь;Какао,,Древесные;Пряные,2,5,средний,зима;осень,,+,+,,,100,10899,
Eau de Lacoste L.12.12 Blanc,м,Lacoste,Франция,люкс,туалетная вода,Грейпфрут;Кардамон;Розмарин,Иланг-иланг;Тубероза,Кедр;Кожаный аккорд;Ветивер;Замша,,Древесные;Фужерные,2,5,средний,лето;весна,+,,,,,50,8549,Грейпфрут;Кожа;Спортивный;Свежий;Повседневный
